RISK_REWARD_RATIO,TIME_STOP_BARS,VOLUME_MULTIPLIER,ATR_MULTIPLIER,total_trades,win_rate,roi,max_drawdown,profit_factor,sharpe_ratio,calmar_ratio,final_capital
3.0,24,1.5,1.5,3099,34.68860922878348,-29.17743005826765,35.894711599308444,1.8141327286237645,-0.20374192628374088,-0.8128615263433343,70822.56994173271
3.0,24,2.0,1.5,2865,35.11343804537522,-30.699540289933026,37.50503818863464,1.7688661621939736,-0.24031835430706952,-0.8185444348977113,69300.45971006723
2.5,24,1.5,1.5,3133,36.067666773060964,-33.26048062241856,38.8595226335474,1.6950704531327543,-0.2515262703258596,-0.8559158313927617,66739.51937758146
2.5,48,1.5,2.5,633,36.492890995260666,-13.11800218168262,31.738845381459964,1.6595193690450933,-0.2772888553193706,-0.413310630050374,86881.99781831716
3.0,24,2.5,2.0,1205,38.00829875518672,-19.662900533476144,27.104860076135367,1.5495619995190397,-0.2873883327940272,-0.7254381862973888,80337.09946652425
3.0,48,1.5,2.5,632,35.44303797468354,-14.344266572387951,32.61976908255383,1.7302858729481527,-0.294346795632143,-0.4397415118447223,85655.73342761201
3.0,24,2.0,2.0,1316,37.765957446808514,-21.388941704957762,29.857470257076535,1.563532387453137,-0.2950958919057809,-0.7163681825953877,78611.05829504221
2.5,24,2.5,2.0,1209,38.62696443341604,-20.949562196384903,24.04725478447562,1.5024300201078664,-0.3219499620500673,-0.8711831094295837,79050.43780361519
3.0,24,1.5,2.0,1354,37.370753323485964,-24.10180458683871,31.258755276099958,1.5805857825719836,-0.32786029022542507,-0.7710417249168792,75898.19541316142
2.5,24,2.0,1.5,2892,36.30705394190871,-38.57927203256535,42.973183799029975,1.653078216490809,-0.3352008841602484,-0.8977522403968633,61420.727967434665
2.5,24,2.0,2.0,1321,38.38001514004542,-24.1659893676749,27.649270338784003,1.5100723517036223,-0.3533932706132279,-0.8740190634896047,75834.01063232511
2.5,48,1.5,1.5,3017,32.615180643022875,-46.499653949936295,46.57656046264441,1.939121285621672,-0.3606570368573996,-0.9983488151133488,53500.34605006375
1.5,48,1.5,2.5,639,42.87949921752739,-14.276142923529173,32.7908719267641,1.2563978928252362,-0.3638918776751542,-0.43536942096001124,85723.85707647089
3.0,48,1.5,1.5,2965,30.55649241146712,-48.278895767316655,48.353244627718986,2.1268943255646438,-0.37004730491799664,-0.9984623811499155,51721.104232683305
3.0,48,2.0,1.5,2744,30.940233236151606,-46.301580332723,46.37877157538678,2.0830550039986613,-0.3860897869590342,-0.9983356341696479,53698.41966727705
2.5,48,2.0,2.5,627,36.36363636363637,-17.51380582201188,33.41033784592805,1.6381642355632968,-0.38629718802088553,-0.5242031943159895,82486.19417798832
3.0,48,2.0,2.0,1278,32.237871674491394,-30.738399013599395,36.027011273255695,1.963059290179894,-0.3896883399796226,-0.8532042466819264,69261.60098640068
